seq,identity,kind,section,title,artist,date,material,accession,qid,gallery,gallery_why,onview_raw,image,url,desc
197,acc:E14376,official,african-art,Mwaash aMbooy mask,Kuba artist in Democratic Republic of the Congo,19th century,"Raffia, leopard cloth, leopard fur, cowrie shells, and glass beads",E14376,,,页面未写在展,,https://s3.us-east-1.amazonaws.com/pem-org/general/collafr_MwashambooyMask_e1476_1200.jpg,https://www.pem.org/the-pem-collection/african-art,"Kuba artist in Democratic Republic of the Congo, Mwaash aMbooy mask, 19th century. Raffia, leopard cloth, leopard fur, cowrie shells, and glass beads. Gift of Dr. Charles Goddard Weld, 1910. E14376."
198,acc:E16924,official,african-art,Figure group,Kongo artist in Loango region,early to mid 19th century,Ivory,E16924,,,页面未写在展,,https://s3.us-east-1.amazonaws.com/pem-org/general/collafrfigureGroup_e16924j_1200.jpg,https://www.pem.org/the-pem-collection/african-art,"Kongo artist in Loango region, Democratic Republic of the Congo or Republic of the Congo, Figure group, early to mid 19th century. Ivory. Museum purchase, 1917. E16924."
199,acc:E23804,official,african-art,Barkcloth,Baganda artist in Uganda,late 19th-early 20th century,Fig tree bark and pigment,E23804,,,页面未写在展,,https://s3.us-east-1.amazonaws.com/pem-org/general/barkcloth_e2384_1200.jpg,https://www.pem.org/the-pem-collection/african-art,"Baganda artist in Uganda, Barkcloth, late 19th–early 20th century. Fig tree bark and pigment. Gift of the estate of Mary Brooks, 1941. E23804."
200,acc:E28249,official,african-art,Sowo-wui mask,Mende artist in Sierra Leone,late 19th-early 20th century,Bombax wood,E28249,,,裸徽章 ON VIEW，未点名地点,ON VIEW,https://s3.us-east-1.amazonaws.com/pem-org/general/afrSowomask_e28249_1200.jpg,https://www.pem.org/the-pem-collection/african-art,"Mende artist in Sierra Leone, Sowo-wui mask, late 19th–early 20th century. Bombax wood. Gift of the estate of Isabel Anderson, 1949. E28249."
201,acc:E301988,official,african-art,West African Outlook,"Charles Sekano (born 1943, South Africa)",about 2000,Oil pastel on paper,E301988,,,页面未写在展,,https://s3.us-east-1.amazonaws.com/pem-org/general/collafrwestafoutlook_e301988_1200.jpg,https://www.pem.org/the-pem-collection/african-art,"Charles Sekano (born 1943, South Africa), West African Outlook, about 2000. Oil pastel on paper. Museum purchase, 2002. E301988."
202,acc:E33723,official,african-art,Kiti cha enzi (chair of power),Swahili artists in Zanzibar,early 19th century,"Wood, bone, and plant fiber",E33723,,,裸徽章 ON VIEW，未点名地点,ON VIEW,https://s3.us-east-1.amazonaws.com/pem-org/general/afrKiti-chairPower_e33723_1200.jpg,https://www.pem.org/the-pem-collection/african-art,"Swahili artists in Zanzibar, Kiti cha enzi (chair of power), early 19th century. Wood, bone, and plant fiber. Gift of Elizabeth Williams, Mary Ropes Trumbull, and Ruth Ropes, 1940. E33723."
203,acc:E53566,official,african-art,Headrest,Zulu artist in South Africa,mid-19th century,Wood,E53566,,,页面未写在展,,https://s3.us-east-1.amazonaws.com/pem-org/general/afr_Headrest_e53566_1200.jpg,https://www.pem.org/the-pem-collection/african-art,"Zulu artist in South Africa, Headrest, mid-19th century. Wood. Transferred to Peabody Essex Museum by the Andover Newton Theological School, 2017. E53566."
204,acc:E62935,official,african-art,Finger piano,Artist in South Africa,19th century,"Wood, iron, and brass",E62935,,,页面未写在展,,https://s3.us-east-1.amazonaws.com/pem-org/general/afrFingerDrum_e62935_1200.jpg,https://www.pem.org/the-pem-collection/african-art,"Artist in South Africa, Finger piano, 19th century. Wood, iron, and brass. Museum purchase, made possible by the Anna Pingree Phillips Fund and the Edward Daland Lovejoy Fund, 1979. E62935."
205,acc:E6756,official,african-art,Drum,Ga artist in Ghana,late 19th century,"Wood, fiber, animal hide, and pigment",E6756,,,页面未写在展,,https://s3.us-east-1.amazonaws.com/pem-org/general/afr_drum_e6756_1200.jpg,https://www.pem.org/the-pem-collection/african-art,"Ga artist in Ghana, Drum, late 19th century. Wood, fiber, animal hide, and pigment. Gift of T. C. W. Nash, 1890. E6756."
206,acc:E6764,official,african-art,Mask,"Grebo or Kru artist near Cape Palmas, Liberia",1830s or earlier,"Wood, ceramic, iron nails, and pigment",E6764,,,页面未写在展,,https://s3.us-east-1.amazonaws.com/pem-org/general/coll_afrmask_e6764_1200.jpg,https://www.pem.org/the-pem-collection/african-art,"Grebo or Kru artist near Cape Palmas, Liberia, Mask, 1830s or earlier. Wood, ceramic, iron nails, and pigment. Gift of Dr. George A. Perkins, about 1859. E6764."
